Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,59.24727535783301,59.434154141065335,59.240086235945114,59.40540313720703,59.40540313720703,2218800
2015-01-05,59.470104085061045,59.59948089386604,59.44135307380497,59.577919006347656,59.577919006347656,5820100
2015-01-06,59.67853340004898,59.93009784585034,59.67853340004898,59.75040817260742,59.75040817260742,3887600
2015-01-07,59.75759161781894,59.85821738657973,59.69290597376977,59.78634262084961,59.78634262084961,2433400
2015-01-08,59.736044458141556,59.736044458141556,59.635418664582005,59.69292068481445,59.69292068481445,1873400
2015-01-09,59.66414513064947,59.86539663497972,59.65695601015419,59.793521881103516,59.793521881103516,1646100
2015-01-12,59.83667567738122,59.89417770282766,59.800735540553454,59.872615814208984,59.872615814208984,4397900
2015-01-13,59.879775162282186,59.99477916651965,59.82227864385621,59.93008804321289,59.93008804321289,2223400
2015-01-14,60.11698999384097,60.17449201813676,60.052304329279345,60.06667709350586,60.06667709350586,2481200
2015-01-15,60.052310798751456,60.34699910854834,60.052310798751456,60.33262634277344,60.33262634277344,4214500
2015-01-16,60.23912146517922,60.26787245049557,60.073810154222414,60.15287399291992,60.15287399291992,3631300
2015-01-20,60.16010109173439,60.25354323244624,60.06666443471624,60.088226318359375,60.088226318359375,3029500
2015-01-21,60.22480439818386,60.23199352208245,59.96605077478306,59.97323989868164,59.97323989868164,2473900
2015-01-22,60.10977461057669,60.10977461057669,59.92290133879433,59.987586975097656,59.987586975097656,2157400
2015-01-23,60.116964762683516,60.21040140017757,60.09540288354585,60.18165588378906,60.18165588378906,6255000
2015-01-26,60.18167488143873,60.19604764417006,60.07385996802375,60.10979461669922,60.10979461669922,7810500
2015-01-27,60.27508673755921,60.29664861462789,60.10976987387925,60.14570999145508,60.14570999145508,1154100
2015-01-28,60.116966432854134,60.44040559628998,60.102593674260575,60.36134719848633,60.36134719848633,1394600
2015-01-29,60.33262440396221,60.35418629377939,60.20324758136383,60.29668426513672,60.29668426513672,1551300
2015-01-30,60.51949677553609,60.62731170654297,60.45481110714908,60.62731170654297,60.62731170654297,10474400
