Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,170.47254275626065,170.88554919758974,168.6553043312476,169.6878204345703,169.6878204345703,121465900
2015-01-05,168.6470660413276,168.8122661140158,166.3177160273211,166.6233367919922,166.6233367919922,169632600
2015-01-06,166.928980437492,167.44937271154942,164.26096171619886,165.05393981933594,165.05393981933594,209151400
2015-01-07,166.3755058100245,167.44932502984875,165.9294644192436,167.11065673828125,167.11065673828125,125346700
2015-01-08,168.51491617689666,170.2908517797395,168.4984049909054,170.07608032226562,170.07608032226562,147217800
2015-01-09,170.48905745841736,170.5055812455194,168.10188068241575,168.713134765625,168.713134765625,158567300
2015-01-12,168.84534696175578,169.00229147312052,166.78856973022198,167.3915557861328,167.3915557861328,144396100
2015-01-13,168.60574554907672,169.72912357347792,165.62383853897953,166.92068481445312,166.92068481445312,214553300
2015-01-14,164.91348263853635,166.111211515272,164.0213997320499,165.9129638671875,165.9129638671875,192991100
2015-01-15,166.54903755284403,166.86291398308043,164.277501361906,164.3931427001953,164.3931427001953,176613900
2015-01-16,164.18664354580645,166.70598626909864,164.00491963763713,166.54904174804688,166.54904174804688,211879600
2015-01-20,167.1850467519091,167.44937699436866,165.34304106412313,166.90420532226562,166.90420532226562,130991100
2015-01-21,166.44163246500446,168.22582370893434,165.97906716560615,167.74673461914062,167.74673461914062,122942700
2015-01-22,168.49832375483442,170.37336338151073,167.12713974110738,170.2412109375,170.2412109375,174356000
2015-01-23,169.98521597655784,170.24129060330148,169.17572673589194,169.30789184570312,169.30789184570312,117516800
2015-01-26,169.09310423115286,169.795207625169,168.3827326417059,169.704345703125,169.704345703125,92009700
2015-01-27,167.655845533799,168.60575536241527,166.63985315825929,167.4658660888672,167.4658660888672,134044600
2015-01-28,168.64706860560267,168.74618612993115,165.1282578484053,165.3182373046875,165.3182373046875,168514300
2015-01-29,165.51649304484636,167.10243653138437,164.1122608271368,166.84637451171875,166.84637451171875,173585400
2015-01-30,165.6734494946458,166.9950628601836,164.48398864289024,164.74830627441406,164.74830627441406,197729700
2015-02-02,165.24391853956578,166.87942090257002,163.4349478846863,166.78855895996094,166.78855895996094,163107000
2015-02-03,167.68063958790245,169.20876868484345,167.30893625739085,169.20050048828125,169.20050048828125,124212900
2015-02-04,168.4405415646292,169.6465258907375,168.1018732657409,168.55618286132812,168.55618286132812,134306700
2015-02-05,169.21704055366874,170.40650140888124,169.1427024012078,170.2578125,170.2578125,97953200
2015-02-06,170.6212406255758,171.18293601095024,169.26657983067707,169.78697204589844,169.78697204589844,125672000
2015-02-09,169.1426340785101,169.86126113660566,168.62224201356955,169.02699279785156,169.02699279785156,87219000
2015-02-10,170.05954231341522,171.08379025750745,169.068316736097,170.82772827148438,170.82772827148438,96164200
2015-02-11,170.6625470171787,171.3563949145991,170.01825788329432,170.92686462402344,170.92686462402344,91087800
2015-02-12,171.71982537678446,172.62844463006107,170.95989500311532,172.57061767578125,172.57061767578125,97545900
2015-02-13,172.69452848136683,173.3305493595107,172.43845388699384,173.28099060058594,173.28099060058594,93670400
