,ARIMA_Mean,ARIMA_Lower_CI,ARIMA_Upper_CI,LSTM_Mean
2026-06-30,411.8399963378906,397.5088381001826,426.1711545755987,20.570600447698542
2026-07-01,411.8399963378906,391.5726779936145,432.10731468216676,17.125444349888355
2026-07-02,411.8399963378906,387.01770213888005,436.6622905369012,16.780677832280954
2026-07-03,411.8399963378906,383.17767986248623,440.502312813295,17.2308228196055
2026-07-06,411.8399963378906,379.7945523220833,443.88544035369796,17.811203515404042
2026-07-07,411.8399963378906,376.73597123243803,446.9440214433432,18.291402142158805
2026-07-08,411.8399963378906,373.9233156414181,449.7566770343631,18.625569285968535
2026-07-09,411.8399963378906,371.30535964934666,452.3746330264346,18.834642843079283
2026-07-10,411.8399963378906,368.8465216247873,454.833471050994,18.954900725420337
2026-07-13,411.8399963378906,366.52089479847064,457.1590978773106,19.01865752468409
2026-07-14,411.8399963378906,364.3089216522256,459.37107102355566,19.049334038741524
2026-07-15,411.8399963378906,362.1954079398762,461.48458473590506,19.062070018549583
2026-07-16,411.8399963378906,360.16827047507206,463.5117222007092,19.065872878827374
2026-07-17,411.8399963378906,358.21771225677116,465.4622804190101,19.065723093229966
2026-07-20,411.8399963378906,356.3356591514123,467.34433352436895,19.06416927425922
2026-07-21,411.8399963378906,354.5153633870877,469.16462928869356,19.062392288083995
2026-07-22,411.8399963378906,352.75111718640994,470.9288754893713,19.06085707289826
2026-07-23,411.8399963378906,351.038041305077,472.64195137070425,19.059684928573056
2026-07-24,411.8399963378906,349.371925835863,474.30806683991824,19.058852197962526
2026-07-27,411.8399963378906,347.7491083062812,475.93088436950006,19.058288367195647
2026-07-28,411.8399963378906,346.1663789172376,477.51361375854367,19.057919566105564
2026-07-29,411.8399963378906,344.62090588325634,479.0590867925249,19.05768446955678
2026-07-30,411.8399963378906,343.11017589594337,480.5698167798379,19.057537483578802
2026-07-31,411.8399963378906,341.6319461269902,482.04804654879104,19.05744689219839
2026-08-03,411.8399963378906,340.1842051493878,483.4957875263934,19.057391611028038
2026-08-04,411.8399963378906,338.7651408314695,484.9148518443117,19.0573580785701
2026-08-05,411.8399963378906,337.37311374087085,486.3068789349104,19.057337785827755
2026-08-06,411.8399963378906,336.00663494495006,487.6733577308312,19.057325492810886
2026-08-07,411.8399963378906,334.66434735075006,489.0156453250312,19.057318016383867
2026-08-10,411.8399963378906,333.34500991824507,490.3349827575362,19.05731344049386
2026-08-11,411.8399963378906,332.04748422394385,491.6325084518374,19.057310617459805
2026-08-12,411.8399963378906,330.77072296080684,492.9092697149744,19.05730886045922
2026-08-13,411.8399963378906,329.51376004397065,494.1662326318106,19.057307757289227
2026-08-14,411.8399963378906,328.27570205644315,495.4042906193381,19.057307059029245
2026-08-17,411.8399963378906,327.0557208194293,496.6242718563519,19.05730661403199
2026-08-18,411.8399963378906,325.85304691168784,497.8269457640934,19.057306328934985
2026-08-19,411.8399963378906,324.6669639938316,499.01302868194966,19.05730614561383
2026-08-20,411.8399963378906,323.49680381864573,500.1831888571355,19.05730602748998
2026-08-21,411.8399963378906,322.34194182872056,501.3380508470607,19.05730595132309
2026-08-24,411.8399963378906,321.2017932590543,502.47819941672697,19.057305902232457
2026-08-25,411.8399963378906,320.0758096755855,503.60418300019575,19.05730587063565
2026-08-26,411.8399963378906,318.9634758915023,504.71651678427895,19.057305850339667
2026-08-27,411.8399963378906,317.8643072121258,505.8156854636554,19.057305837334802
2026-08-28,411.8399963378906,316.7778469665641,506.90214570921717,19.05730582902471
2026-08-31,411.8399963378906,315.7036642904779,507.97632838530336,19.057305823729916
2026-09-01,411.8399963378906,314.64135212942233,509.0386405463589,19.05730582036623
2026-09-02,411.8399963378906,313.59052543652444,510.0894672392568,19.057305818235296
2026-09-03,411.8399963378906,312.5508195418651,511.12917313391614,19.05730581688911
2026-09-04,411.8399963378906,311.52188867398775,512.1581040017935,19.057305816040895
2026-09-07,411.8399963378906,310.5034046165365,513.1765880592448,19.057305815507625
2026-09-08,411.8399963378906,309.49505548523086,514.1849371905504,19.057305815173116
2026-09-09,411.8399963378906,308.4965446122567,515.1834480635246,19.05730581496372
2026-09-10,411.8399963378906,307.5075895267639,516.1724031490173,19.057305814832915
2026-09-11,411.8399963378906,306.52792102154126,517.15207165424,19.057305814751356
2026-09-14,411.8399963378906,305.5572822971284,518.1227103786529,19.057305814700538
2026-09-15,411.8399963378906,304.5954281756548,519.0845645001265,19.0573058146689
2026-09-16,411.8399963378906,303.64212437758613,520.0378682981951,19.057305814649308
2026-09-17,411.8399963378906,302.697146855332,520.9828458204493,19.057305814637136
2026-09-18,411.8399963378906,301.7602811783461,521.9197114974352,19.057305814629547
