Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,59.24728296691929,59.43416177415233,59.24009384410811,59.40541076660156,59.40541076660156,2218800
2015-01-05,59.470092661679004,59.59946944563251,59.4413416559456,59.57790756225586,59.57790756225586,5820100
2015-01-06,59.67852958994048,59.930094019681,59.67852958994048,59.750404357910156,59.750404357910156,3887600
2015-01-07,59.75756874064218,59.85819447088011,59.6928831213568,59.786319732666016,59.786319732666016,2433400
2015-01-08,59.736071180313296,59.736071180313296,59.63544534174005,59.69294738769531,59.69294738769531,1873400
2015-01-09,59.66419080796918,59.86544246637235,59.65700168197009,59.7935676574707,59.7935676574707,1646100
2015-01-12,59.836690927010785,59.89419296711186,59.800750781023524,59.87263107299805,59.87263107299805,4397900
2015-01-13,59.879775162282186,59.99477916651965,59.82227864385621,59.93008804321289,59.93008804321289,2223400
2015-01-14,60.116974722270875,60.17447673195937,60.052289074141406,60.0666618347168,60.0666618347168,2481200
2015-01-15,60.052310798751456,60.34699910854834,60.052310798751456,60.33262634277344,60.33262634277344,4214500
2015-01-16,60.2391405660132,60.26789156044601,60.0738292026389,60.15289306640625,60.15289306640625,3631300
2015-01-20,60.16010491099462,60.25354705763864,60.06666824804466,60.08823013305664,60.08823013305664,3029500
2015-01-21,60.22478524469166,60.23197436630386,59.96603170358311,59.97322082519531,59.97322082519531,2473900
2015-01-22,60.10978990044611,60.10978990044611,59.922916581129584,59.98760223388672,59.98760223388672,2157400
2015-01-23,60.11695333089333,60.21038995061956,60.095391455855854,60.181644439697266,60.181644439697266,6255000
2015-01-26,60.18168633921556,60.19605910468327,60.073871405274076,60.109806060791016,60.109806060791016,7810500
2015-01-27,60.27508673755921,60.29664861462789,60.10976987387925,60.14570999145508,60.14570999145508,1154100
2015-01-28,60.11700062613084,60.440439973532136,60.10262785936236,60.36138153076172,60.36138153076172,1394600
2015-01-29,60.332593868193925,60.354155747098126,60.20321711107622,60.296653747558594,60.296653747558594,1551300
2015-01-30,60.51949296762259,60.6273078918457,60.45480730330562,60.6273078918457,60.6273078918457,10474400
2015-02-02,60.46168220867289,60.62733307680122,60.432878617910006,60.55531311035156,60.55531311035156,6070500
2015-02-03,60.4472426660575,60.49045351998935,60.33200639588217,60.368019104003906,60.368019104003906,1237200
2015-02-04,60.2455857039361,60.396829190015794,60.18076392717744,60.389625549316406,60.389625549316406,2945700
2015-02-05,60.27436744942845,60.32478192193533,60.21674933948762,60.25996017456055,60.25996017456055,2128200
2015-02-06,60.05111575621154,60.079924819389916,59.856661448216165,59.871063232421875,59.871063232421875,2907700
