Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,170.47254275626065,170.88554919758974,168.6553043312476,169.6878204345703,169.6878204345703,121465900
2015-01-05,168.647096929558,168.8122970325031,166.31774648892383,166.6233673095703,166.6233673095703,169632600
2015-01-06,166.9289650053605,167.44935723130908,164.26094653071848,165.05392456054688,165.05392456054688,209151400
2015-01-07,166.37555138501293,167.44937089898684,165.92950987204858,167.11070251464844,167.11070251464844,125346700
2015-01-08,168.51487082072038,170.2908059455661,168.49835963917315,170.07603454589844,170.07603454589844,147217800
2015-01-09,170.48911913604712,170.50564292912694,168.1019414964393,168.71319580078125,168.71319580078125,158567300
2015-01-12,168.8453161791333,169.00226066188512,166.7885393225758,167.3915252685547,167.3915252685547,144396100
2015-01-13,168.60577637472915,169.72915460451395,165.62386881945937,166.92071533203125,166.92071533203125,214553300
2015-01-14,164.91343713793196,166.11116568420712,164.02135447757647,165.9129180908203,165.9129180908203,192991100
2015-01-15,166.54905301174085,166.86292947111093,164.27751660996134,164.39315795898438,164.39315795898438,176613900
2015-01-16,164.18659841874955,166.70594044959492,164.00487456052744,166.5489959716797,166.5489959716797,211879600
2015-01-20,167.1850467519091,167.44937699436866,165.34304106412313,166.90420532226562,166.90420532226562,130991100
2015-01-21,166.4416627451499,168.22585431367148,165.9790973615987,167.74676513671875,167.74676513671875,122942700
2015-01-22,168.49838416512793,170.3734244640465,167.12719965980176,170.24127197265625,170.24127197265625,174356000
2015-01-23,169.98520065672528,170.24127526039032,169.17571148901422,169.30787658691406,169.30787658691406,117516800
2015-01-26,169.09314984264265,169.7952534260455,168.3827780615787,169.7043914794922,169.7043914794922,92009700
2015-01-27,167.6558608098982,168.60577072506626,166.63986834178553,167.46588134765625,167.46588134765625,134044600
2015-01-28,168.64703747352567,168.74615497955716,165.12822736589717,165.31820678710938,165.31820678710938,168514300
2015-01-29,165.5164324961827,167.10237540255642,164.11220079216446,166.8463134765625,166.8463134765625,173585400
2015-01-30,165.67338811674696,166.99500099265984,164.4839277056571,164.7482452392578,164.7482452392578,197729700
2015-02-02,165.24387318713673,166.8793751012651,163.43490302874275,166.78851318359375,166.78851318359375,163107000
2015-02-03,167.68066983135327,169.20879920391286,167.3089664338,169.20053100585938,169.20053100585938,124212900
2015-02-04,168.44060255791106,169.6465873207132,168.10193413638905,168.55624389648438,168.55624389648438,134306700
2015-02-05,169.2170253881554,170.40648613676643,169.14268724235677,170.25779724121094,170.25779724121094,97953200
2015-02-06,170.62127129310568,171.18296677943948,169.26661025471967,169.78700256347656,169.78700256347656,125672000
2015-02-09,169.1426646169671,169.86129180480972,168.6222724580705,169.0270233154297,169.0270233154297,87219000
